Date,Month,FileOrigin,Description,Amount,Category
2024-07-01,2024-07,Monzo Nicholas Flex JulyOctober,Snappy Snaps Crouch En London        GBR,-4.00,Shopping
2024-07-01,2024-07,Monzo Nicholas Flex JulyOctober,CLOCKTOWER GREENS      LONDON        GBR,-4.99,eating_out
2024-07-01,2024-07,Amex Joint JulyOctober,M&S CHANCERY LANE       LONDON,4.05,groceries
2024-07-01,2024-07,Amex Joint JulyOctober,WAITROSE CROUCH END     CROUCH END,2.65,groceries
2024-07-02,2024-07,Monzo Joint July,Savings,75.00,Moving Money
2024-07-02,2024-07,Amex Joint JulyOctober,AMZNMKTPLACE*WF7QV5KL5  AMAZON.CO.UK,143.76,Shopping
2024-07-02,2024-07,Monzo Nicholas Flex JulyOctober,BATH POTTERS SUPPLIES  RADSTOCK      GBR,-98.26,Shopping
2024-07-02,2024-07,Amex Joint JulyOctober,AMAZON PRIME            AMZN.CO.UK/PM,-4.50,Subscriptions
2024-07-02,2024-07,Amex Joint JulyOctober,AMAZON PRIME*5T40I6QG5  AMZN.CO.UK/PM,8.99,Subscriptions
2024-07-02,2024-07,Monzo Joint July,Transfers,-75.00,Transfers
2024-07-02,2024-07,Amex Joint JulyOctober,LIME*PASS               LONDON,36.99,Transportation
2024-07-02,2024-07,Amex Joint JulyOctober,LIME*RIDE               LONDON,0.30,Transportation
2024-07-02,2024-07,Monzo Nicholas Flex JulyOctober,Booking40528871684,-104.36,Uncategorized
2024-07-02,2024-07,Monzo Nicholas Flex JulyOctober,Booking40528871684,-1.20,Uncategorized
2024-07-03,2024-07,Monzo Joint July,1 Montenotte Rent,-2100.00,Housing & Rent
2024-07-03,2024-07,Monzo Joint July,Savings,2100.00,Moving Money
2024-07-03,2024-07,Monzo Joint July,Savings,60.00,Moving Money
2024-07-03,2024-07,Monzo Joint July,Nicholas Antoniade,-9.00,Nicholas Moving money
2024-07-03,2024-07,Monzo Joint July,Spotify                London        GBR,-19.99,Subscriptions
2024-07-03,2024-07,Amex Joint JulyOctober,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,19.59,Subscriptions
2024-07-03,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,Transportation
2024-07-03,2024-07,Monzo Joint July,Virgin Media,-28.83,Utilities & Bills
2024-07-03,2024-07,Amex Joint JulyOctober,J and R Kiosk           London,1.30,eating_out
2024-07-04,2024-07,Monzo Joint July,Savings,15.00,Moving Money
2024-07-04,2024-07,Monzo Joint July,Savings,3093.42,Moving Money
2024-07-04,2024-07,Monzo Joint July,AMERICAN EXP 3773,-3093.42,Shopping
2024-07-04,2024-07,Amex Joint JulyOctober,PAYMENT RECEIVED - THANK YOU,-3093.42,Shopping
2024-07-04,2024-07,Amex Joint JulyOctober,SUMUP*NKORA LIMITED     ST ALBANS,3.50,Shopping
2024-07-04,2024-07,Amex Joint JulyOctober,SUMUP*NKORA LIMITED     ST ALBANS,3.60,Shopping
2024-07-04,2024-07,Amex Joint JulyOctober,ZETTLE *CHIRIAC MUSIC   LONDON,5.00,Shopping
2024-07-04,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation
2024-07-04,2024-07,Monzo Joint July,EE TOPUP  VESTA        EE.CO.UK      GBR,-15.00,Utilities & Bills
2024-07-04,2024-07,Monzo Nicholas Flex JulyOctober,The Woodman            London        GBR,-22.10,eating_out
2024-07-05,2024-07,Monzo Joint July,Savings,15.00,Moving Money
2024-07-05,2024-07,Amex Joint JulyOctober,W H SMITH               GATWICK,12.76,Shopping
2024-07-05,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.00,Transportation
2024-07-05,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.50,Transportation
2024-07-05,2024-07,Amex Joint JulyOctober,TRAINLINE trainline     LONDON,9.10,Transportation
2024-07-05,2024-07,Amex Joint JulyOctober,AIRBNB * HM9FKFHKXQ     LONDON,204.88,Travel
2024-07-05,2024-07,Monzo Joint July,EE TOPUP  VESTA        EE.CO.UK      GBR,-15.00,Utilities & Bills
2024-07-05,2024-07,Amex Joint JulyOctober,3CPAYMENT*PRET A MANGER LONDON,5.99,eating_out
2024-07-05,2024-07,Amex Joint JulyOctober,SAINSBURY'S             LONDON,2.00,groceries
2024-07-06,2024-07,Monzo Joint July,Savings,20.00,Moving Money
2024-07-06,2024-07,Monzo Joint July,Savings,160.00,Moving Money
2024-07-06,2024-07,Monzo Joint July,Savings,12.00,Moving Money
2024-07-06,2024-07,Amex Joint JulyOctober,ZETTLE *TURNING EARTH C LONDON,15.00,Shopping
