Month,Category,Amount
2024-07,Entertainment,-490.00
2024-08,Entertainment,-620.97
2024-09,Entertainment,-490.00
2024-10,Entertainment,-592.25
2024-07,Holiday,-482.59
2024-10,Holiday,-128.90
2024-07,Income,5621.23
2024-08,Income,5621.03
2024-09,Income,5621.23
2024-10,Income,1766.91
2024-08,Miscellaneous,-58.74
2024-07,Nothing,2980.42
2024-08,Nothing,2920.89
2024-09,Nothing,-616.00
2024-10,Nothing,1000.00
2024-07,Personal Care,-13.55
2024-08,Personal Care,-39.99
2024-10,Personal Care,-268.25
2024-07,Rent,-2100.00
2024-08,Rent,-2100.00
2024-09,Rent,-4200.00
2024-07,Shopping,-6644.26
2024-08,Shopping,-5768.13
2024-09,Shopping,-118.03
2024-10,Shopping,-1284.62
2024-07,Subscriptions,-94.91
2024-08,Subscriptions,-92.32
2024-09,Subscriptions,-83.86
2024-10,Subscriptions,-97.06
2024-07,Transfers,-519.62
2024-08,Transfers,-1332.62
2024-09,Transfers,-239.48
2024-10,Transfers,-1471.89
2024-07,Transportation,-454.25
2024-08,Transportation,-480.49
2024-09,Transportation,-560.71
2024-10,Transportation,-312.95
2024-07,Uncategorized,-175.84
2024-08,Uncategorized,-157.15
2024-09,Uncategorized,-16.94
2024-10,Uncategorized,-344.52
2024-07,Utilities,-51.79
2024-08,Utilities,728.53
2024-09,Utilities,-111.45
2024-10,Utilities,1378.09
2024-07,activities,-397.18
2024-08,activities,-1240.67
2024-09,activities,-365.63
2024-10,activities,-355.06
2024-07,groceries,-605.93
2024-08,groceries,-467.28
2024-09,groceries,-470.39
2024-10,groceries,-363.83
2024-07,pay nicholas,-9.00
2024-09,pay nicholas,-600.00
