Date,Month,FileOrigin,Description,Amount,Category
2024-07-01,2024-07,Amex,M&S CHANCERY LANE       LONDON,4.05,Food & Drink
2024-07-01,2024-07,Amex,WAITROSE CROUCH END     CROUCH END,2.65,Food & Drink
2024-07-01,2024-07,Monzo,CLOCKTOWER GREENS      LONDON        GBR,-4.99,Food & Drink
2024-07-01,2024-07,Monzo,Snappy Snaps Crouch En London        GBR,-4.00,Shopping
2024-07-02,2024-07,Amex,AMAZON PRIME            AMZN.CO.UK/PM,-4.50,Entertainment & Subscriptions
2024-07-02,2024-07,Amex,AMAZON PRIME*5T40I6QG5  AMZN.CO.UK/PM,8.99,Entertainment & Subscriptions
2024-07-02,2024-07,Amex,AMZNMKTPLACE*WF7QV5KL5  AMAZON.CO.UK,143.76,Shopping
2024-07-02,2024-07,Monzo,BATH POTTERS SUPPLIES  RADSTOCK      GBR,-98.26,Shopping
2024-07-02,2024-07,Amex,LIME*PASS               LONDON,36.99,Transportation & Travel
2024-07-02,2024-07,Amex,LIME*RIDE               LONDON,0.30,Transportation & Travel
2024-07-02,2024-07,Monzo,,75.00,Uncategorized
2024-07-02,2024-07,Monzo,,-75.00,Uncategorized
2024-07-02,2024-07,Monzo,booking40528871684     ONLINE        GBR,-104.36,Uncategorized
2024-07-02,2024-07,Monzo,booking40528871684     ONLINE        GBR,-1.20,Uncategorized
2024-07-03,2024-07,Monzo,Spotify                London        GBR,-19.99,Entertainment & Subscriptions
2024-07-03,2024-07,Amex,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,19.59,Entertainment & Subscriptions
2024-07-03,2024-07,Amex,J and R Kiosk           London,1.30,Food & Drink
2024-07-03,2024-07,Monzo,1 Montenotte Rent,-2100.00,Housing & Rent
2024-07-03,2024-07,Amex,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,Transportation & Travel
2024-07-03,2024-07,Monzo,,2100.00,Uncategorized
2024-07-03,2024-07,Monzo,,60.00,Uncategorized
2024-07-03,2024-07,Monzo,Nicholas Antoniade,-9.00,Uncategorized
2024-07-03,2024-07,Monzo,036036708001,-28.83,Uncategorized
2024-07-04,2024-07,Monzo,The Woodman            London        GBR,-22.10,Food & Drink
2024-07-04,2024-07,Amex,PAYMENT RECEIVED - THANK YOU,-3093.42,Income
2024-07-04,2024-07,Monzo,EE TOPUP  VESTA        EE.CO.UK      GBR,-15.00,Shopping
