Category,Keyword
Food & Drink,avellino
Food & Drink,bun house
Food & Drink,cafe
Food & Drink,caffe nero
Food & Drink,deliveroo
Food & Drink,gail
Food & Drink,gyros
Food & Drink,landrace
Food & Drink,mcdonalds
Food & Drink,ocean basket
Food & Drink,ouzeri
Food & Drink,pophams
Food & Drink,pret
Food & Drink,taverna
Food & Drink,the jar
Food & Drink,comptoir
Food & Drink,aldi
Food & Drink,crouch end greens
Food & Drink,gousto
Food & Drink,j and r kiosk
Food & Drink,jiovanis mini market
Food & Drink,m&s
Food & Drink,marks and spencer
Food & Drink,MARKS&SPENCER 
Food & Drink,sainsbury
Food & Drink,tesco
Food & Drink,waitrose
Food & Drink,wizz
Food & Drink,periptero
Food & Drink,kiosk
Food & Drink,cherry local
Food & Drink,falafel stop
Food & Drink,fam market
Food & Drink,grocery post
Food & Drink,loon fung
Food & Drink,wing wing
Food & Drink,xing long men
Food & Drink,clocktower greens
Food & Drink,old bell tavern
Food & Drink,coffeenerd
Food & Drink,ls the wells tavern
Food & Drink,1014 grays inn road
Food & Drink,zettle *k ismael
Food & Drink,bath bun tea shoppe
Food & Drink,same same but different
Food & Drink,la baguette
Food & Drink,the raven
Food & Drink,queen's
Food & Drink,v&a
Food & Drink,london bridge confectionery
Food & Drink,the dusty knuckle
Food & Drink,zettle *lost gravity
Food & Drink,co-op group food
Food & Drink,butterandcrust
Food & Drink,costa sevenoaks railway
Food & Drink,five guys jv ltd
Food & Drink,the mount vineyard
Food & Drink,mount vineyard (bar &
Food & Drink,kemsing premier
Food & Drink,petersham nurseries
Food & Drink,e5 bakehouse ltd
Food & Drink,zettle_*druces pressed
Food & Drink,turf tavern
Food & Drink,the woodman
Food & Drink,plateia agiou lazarou
Food & Drink,gyr evontas ellada
Food & Drink,chris express
Food & Drink,food village lca airport
Food & Drink,park local express
Food & Drink,the cock inn
Food & Drink,kemsing news+wine
Food & Drink,gaucho covent garden
Food & Drink,chinatown bakery
Food & Drink,tianfu
Food & Drink,the service london ltd
Food & Drink,FOOD

Transportation & Travel,tfl
Transportation & Travel,bus stop
Transportation & Travel,uber
Transportation & Travel,bolt
Transportation & Travel,gett
Transportation & Travel,lime
Transportation & Travel,first great
Transportation & Travel,trainline
Transportation & Travel,shell
Transportation & Travel,airbnb
Transportation & Travel,jolene hor
Transportation & Travel,london cai
Transportation & Travel,w h smith
Transportation & Travel,sp piedaterre venice
Transportation & Travel,london overground
Transportation & Travel,waterloo

Entertainment & Subscriptions,netflix
Entertainment & Subscriptions,disney
Entertainment & Subscriptions,prime video
Entertainment & Subscriptions,spotify
Entertainment & Subscriptions,openai
Entertainment & Subscriptions,adobe
Entertainment & Subscriptions,google
Entertainment & Subscriptions,google one
Entertainment & Subscriptions,wetransfer
Entertainment & Subscriptions,subscription
Entertainment & Subscriptions,amazon prime
Entertainment & Subscriptions,eventim
Entertainment & Subscriptions,cursor
Entertainment & Subscriptions,turning earth ceramics
Entertainment & Subscriptions,turning earth leyton
Entertainment & Subscriptions,nintendo
Entertainment & Subscriptions,thermae bath spa
Entertainment & Subscriptions,zettle_*chiriac music
Entertainment & Subscriptions,zettle_*gpx music
Entertainment & Subscriptions,zettle_*joe franco mus
Entertainment & Subscriptions,squarespace inc.
Entertainment & Subscriptions,sqsp* inv149696583
Entertainment & Subscriptions,microsoft*ea play
Entertainment & Subscriptions,zettle_*matt sugarpants
Entertainment & Subscriptions,zettle *turning earth c
Entertainment & Subscriptions,zettle_*turning earth
Entertainment & Subscriptions,zettle *terence fox

Shopping,amazon
Shopping,amznmktplace
Shopping,apple
Shopping,bath potters supplies
Shopping,bobbi brown
Shopping,boots
Shopping,connolly
Shopping,connolly retail ltd
Shopping,deciem
Shopping,etsy
Shopping,euro pharmacy
Shopping,foto plus
Shopping,jacksonsart
Shopping,jigsaw
Shopping,mgp
Shopping,morris
Shopping,ryohin keikaku
Shopping,robert dyas
Shopping,ryman
Shopping,sp connolly england
Shopping,sumup
Shopping,snappy snaps
Shopping,superdrug
Shopping,toast
Shopping,uniqlo
Shopping,waterston
Shopping,point
Shopping,broadway
Shopping,buy 2 save
Shopping,wholesale flowers natio
Shopping,clR
Shopping,london camera exchange
Shopping,route one
Shopping,bath old books
Shopping,crouch end hardware
Shopping,hart & sons dorset
Shopping,sidney rose
Shopping,bobbibrown.co.uk
Shopping,jessops
Shopping,that's shoe business
Shopping,klarna
Shopping,sp hoyles of oxford
Shopping,scriptum ltd
Shopping,tradeinn retal services
Shopping,lgl ltd
Shopping,zettle 
Shopping,ORDER
Shopping,TOPUP
Shopping,POST

Utilities & Bills,virgin media
Utilities & Bills,flex
Utilities & Bills,voxi
Utilities & Bills,ee topup vesta
Utilities & Bills,post office grays inn
Utilities & Bills,www.haringey.gov.uk
Utilities & Bills,ovo energy
Utilities & Bills,boost

Income,payment received
Income,payroll
Income,positive balance adjustments
Income,refund
Income,unlabeled income

Refunds,connolly/ expenses
Refunds,refund
Refunds,negative balance adjustments

Personal Care,boots
Personal Care,clinic
Personal Care,euro pharmacy
Personal Care,morris
Personal Care,superdrug
Personal Care,london doctors clinic

Investments,coinbase uk

Housing & Rent,rent payment
Housing & Rent,1 montenotte rent

Miscellaneous,human for
Miscellaneous,vms sally
Miscellaneous,unidentified transactions
Miscellaneous,zettle_*james theory
Miscellaneous,zettle *k ismael
Miscellaneous,unlabeled expenses
