Date,Month,FileOrigin,Description,Amount,Currency,Category
03/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,7.55,GBP,Shopping
04/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,8.85,GBP,Shopping
04/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,7.20,GBP,Shopping
07/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,11.22,GBP,Shopping
07/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,5.70,GBP,Shopping
07/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,7.89,GBP,Shopping
07/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,17.20,GBP,Shopping
08/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,18.94,GBP,Shopping
09/10/2024,2024-10,Monzo Lara Flex October,Flex,70.00,GBP,Nothing
11/10/2024,2024-10,Monzo Lara Flex October,LIME*PASS X23Q +448008085223,36.99,GBP,Transportation
12/10/2024,2024-10,Monzo Lara Flex October,SQ *GROCERY POST - HIG London,23.50,GBP,Groceries
13/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,3.32,GBP,Shopping
14/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,9.85,GBP,Shopping
15/10/2024,2024-10,Monzo Lara Flex October,WETRANSFER* BB2119B7 +31208100779 NLD,11.00,GBP,Shopping
16/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,8.20,GBP,Shopping
18/10/2024,2024-10,Monzo Lara Flex October,www.jacksonsart.com London,33.10,GBP,Shopping
22/10/2024,2024-10,Monzo Lara Flex October,MGP*Vinted London,11.97,GBP,Shopping
23/10/2024,2024-10,Monzo Lara Flex October,LIME*PASS X23Q +448008085223,36.99,GBP,Transportation
24/10/2024,2024-10,Monzo Lara Flex October,SP CONNOLLY ENGLAND +442079526708,32.50,GBP,Shopping
24/10/2024,2024-10,Monzo Lara Flex October,LONDON DOCTORS CLINIC +442080038553,20.00,GBP,Toiletries
25/10/2024,2024-10,Monzo Lara Flex October,LONDON DOCTORS CLINIC LONDON,236.70,GBP,Toiletries
25/10/2024,2024-10,Monzo Lara Flex October,Flex,1395.34,GBP,Nothing
01/09/2024,2024-09,Monzo Joint September,Spotify London,19.99,GBP,Subscriptions
02/09/2024,2024-09,Monzo Joint September,TfL Travel Charge TFL.gov.uk/CP,9.90,GBP,Transportation
03/09/2024,2024-09,Monzo Joint September,PB404161063229499,342.78,GBP,Credit card
03/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,1.30,GBP,Groceries
03/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CHANCERY LANE,10.40,GBP,Groceries
04/09/2024,2024-09,Monzo Joint September,CONNOLLY/ EXPENSES,239.35,GBP,Refunds
04/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.70,GBP,Transportation
04/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CHANCERY LANE,8.20,GBP,Groceries
04/09/2024,2024-09,Monzo Joint September,SAINSBURYS LONDON,2.20,GBP,Groceries
04/09/2024,2024-09,Monzo Joint September,TfL Travel Charge TFL.gov.uk/CP,2.80,GBP,Transportation
04/09/2024,2024-09,Monzo Joint September,SIDNEY ROSE LONDON W1S,5.98,GBP,Shopping
04/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CROUCH END,11.40,GBP,Groceries
04/09/2024,2024-09,Monzo Joint September,WAITROSE LONDON,5.40,GBP,Groceries
05/09/2024,2024-09,Monzo Joint September,FOTO PLUS LONDON N8 8,2.00,GBP,Shopping
05/09/2024,2024-09,Monzo Joint September,PRET A MANGER HULL,10.59,GBP,Activities
05/09/2024,2024-09,Monzo Joint September,CAFFE NERO 86 HIGH HOL LONDON,3.98,GBP,Activities
05/09/2024,2024-09,Monzo Joint September,LIME*PAYOFF X23Q LONDON,1.45,GBP,Transportation
05/09/2024,2024-09,Monzo Joint September,LIME*AUTH X23Q LONDON,10.00,GBP,Transportation
05/09/2024,2024-09,Monzo Joint September,LIME*RIDE X23Q LONDON,3.78,GBP,Transportation
05/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,1.30,GBP,Groceries
05/09/2024,2024-09,Monzo Joint September,SumUp *The martial ac Tilbury,10.00,GBP,Shopping
05/09/2024,2024-09,Monzo Joint September,LIME*AUTH X23Q LONDON,10.00,GBP,Transportation
05/09/2024,2024-09,Monzo Joint September,LIME*RIDE X23Q LONDON,8.13,GBP,Transportation
05/09/2024,2024-09,Monzo Joint September,LIME*PASS X23Q LONDON,36.99,GBP,Transportation
05/09/2024,2024-09,Monzo Joint September,Crouch End Greens LTD London,10.75,GBP,Groceries
06/09/2024,2024-09,Monzo Joint September,TfL Travel Charge TFL.gov.uk/CP,12.30,GBP,Transportation
06/09/2024,2024-09,Monzo Joint September,TfL Travel Charge TFL.gov.uk/CP,3.70,GBP,Transportation
06/09/2024,2024-09,Monzo Joint September,SQ *JOLENE HORNSEY ROA London,15.20,GBP,Activities
06/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,1.30,GBP,Groceries
06/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,1.00,GBP,Groceries
06/09/2024,2024-09,Monzo Joint September,WAITROSE LONDON,6.61,GBP,Groceries
07/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CROUCH END,17.80,GBP,Groceries
07/09/2024,2024-09,Monzo Joint September,WAITROSE LONDON,27.30,GBP,Groceries
07/09/2024,2024-09,Monzo Joint September,LS The Wells Tavern London,8.20,GBP,Activities
08/09/2024,2024-09,Monzo Joint September,Zettle_*But First Coff London,6.60,GBP,Shopping
08/09/2024,2024-09,Monzo Joint September,Zettle_*But First Coff London,2.40,GBP,Shopping
08/09/2024,2024-09,Monzo Joint September,Nicholas Antoniades,40.00,GBP,Pay Nicholas
08/09/2024,2024-09,Monzo Joint September,CLOCKTOWER GREENS LONDON,4.58,GBP,Activities
08/09/2024,2024-09,Monzo Joint September,WAITROSE LONDON,14.85,GBP,Groceries
08/09/2024,2024-09,Monzo Joint September,PPOINT_*CU CONVENIENCE London,6.49,GBP,Shopping
09/09/2024,2024-09,Monzo Joint September,e5 Bakehouse Ltd London,9.30,GBP,Activities
09/09/2024,2024-09,Monzo Joint September,e5 Bakehouse Ltd London,4.10,GBP,Activities
09/09/2024,2024-09,Monzo Joint September,WWW.HARINGEY.GOV.UK LONDON,561.00,GBP,Utilities
09/09/2024,2024-09,Monzo Joint September,Emergency Savings Pot,2100.00,GBP,Nothing
09/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CHANCERY LANE,8.20,GBP,Groceries
09/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,1.00,GBP,Groceries
09/09/2024,2024-09,Monzo Joint September,1 Montenotte Rent,2100.00,GBP,Rent
09/09/2024,2024-09,Monzo Joint September,Nicholas Antoniades,303.18,GBP,Pay Nicholas
09/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,115.00,GBP,Nothing
10/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,1.30,GBP,Groceries
10/09/2024,2024-09,Monzo Joint September,SumUp *Nkora Limited St Albans,9.10,GBP,Shopping
10/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,1.00,GBP,Groceries
11/09/2024,2024-09,Monzo Joint September,Jessops London,1.58,GBP,Shopping
11/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CHANCERY LANE,8.20,GBP,Groceries
11/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.70,GBP,Transportation
11/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,3.70,GBP,Transportation
11/09/2024,2024-09,Monzo Joint September,Klarna \Aviation House 125 Kingsway\London \WC2B 6NH,1979.00,GBP,Shopping
11/09/2024,2024-09,Monzo Joint September,Emergency Savings Pot,1900.00,GBP,Nothing
11/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,150.00,GBP,Nothing
11/09/2024,2024-09,Monzo Joint September,SumUp *Nkora Limited St Albans,11.80,GBP,Shopping
11/09/2024,2024-09,Monzo Joint September,THATS SHOE BUSINESS LONDON EC1N,3.50,GBP,Uncategorised
11/09/2024,2024-09,Monzo Joint September,PRET A MANGER LONDON,5.50,GBP,Activities
11/09/2024,2024-09,Monzo Joint September,Zettle_*Chiriac music LONDON,5.00,GBP,Shopping
11/09/2024,2024-09,Monzo Joint September,APPLE.COM/BILL APPLE.COM/BIL IRL,8.99,GBP,Subscriptions
12/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,6.00,GBP,Transportation
12/09/2024,2024-09,Monzo Joint September,J and R Kiosk London,1.30,GBP,Groceries
12/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,5.80,GBP,Transportation
12/09/2024,2024-09,Monzo Joint September,PPOINT_*CU CONVENIENCE London,1.59,GBP,Shopping
12/09/2024,2024-09,Monzo Joint September,Zettle_*TURNING EARTH LONDON,20.00,GBP,Shopping
13/09/2024,2024-09,Monzo Joint September,Trainline.Com London,5.25,GBP,Transportation
13/09/2024,2024-09,Monzo Joint September,Trainline.Com London,5.25,GBP,Transportation
13/09/2024,2024-09,Monzo Joint September,PRET A MANGER LONDON,5.50,GBP,Activities
13/09/2024,2024-09,Monzo Joint September,PRET A MANGER LONDON,3.90,GBP,Activities
13/09/2024,2024-09,Monzo Joint September,MARKS&SPENCER PLC SF CROUCH END,8.00,GBP,Groceries
13/09/2024,2024-09,Monzo Joint September,WAITROSE LONDON,1.35,GBP,Groceries
13/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,200.00,GBP,Nothing
14/09/2024,2024-09,Monzo Joint September,LIME*PAYOFF X23Q LONDON,6.38,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,LIME*PASS X23Q LONDON,36.99,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,Trainline.Com London,5.25,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL,2.70,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,RYMAN 1014 LONDON,0.99,GBP,Shopping
14/09/2024,2024-09,Monzo Joint September,WWW.VOXI.CO.UK NEWBURY,10.00,GBP,Utilities
14/09/2024,2024-09,Monzo Joint September,LIME*PASS FZY2 LONDON,36.99,GBP,Transportation
14/09/2024,2024-09,Monzo Joint September,SHELL Grosvenor Road London,1.49,GBP,Shopping
14/09/2024,2024-09,Monzo Joint September,BUCCLEUCH GARDENS CAFE RICHMOND,2.00,GBP,Activities
14/09/2024,2024-09,Monzo Joint September,WAITROSE LONDON,13.13,GBP,Groceries
14/09/2024,2024-09,Monzo Joint September,Monthly Money Pot,140.00,GBP,Nothing
