Category,2024-07,2024-08,2024-09,2024-10
Activities,-187.30,860.35,-195.60,-320.07
Admin,0.00,0.00,0.00,-78.00
Credit card,744.00,-0.00,0.00,0.00
Entertainment,0.00,43.03,0.00,52.25
Groceries,416.24,318.09,-205.14,-152.44
Holiday,1434.31,0.00,0.00,-154.50
Income,5632.23,5621.03,5466.23,1766.91
Miscellaneous,0.00,-59.64,0.00,0.00
Nothing,3025.41,3986.55,12.05,2388.09
Pay Aletta,0.00,-25.00,0.00,0.00
Pay Amy,0.00,0.00,0.00,-3.00
Pay Lara,-393.00,-399.00,-300.00,-1386.89
Pay Nicholas,-94.00,-892.00,-497.86,-85.00
Refunds,0.00,0.00,239.35,0.00
Rent,-2100.00,-2100.00,-4200.00,0.00
Shopping,-305.98,-143.80,2249.28,-401.95
Subscriptions,215.51,240.86,218.82,407.70
Toiletries,-15.98,39.99,123.00,-268.25
Transportation,411.95,455.19,-482.55,-296.13
Uncategorised,-6.00,-15.67,-3.50,0.00
Utilities,-47.56,-289.13,-720.50,-155.00
